,precision,recall,f1-score,support
Normal,1.0,1.0,1.0,947.0
Inner Race,1.0,0.9915730337078652,0.995768688293371,712.0
Outer Race,1.0,1.0,1.0,712.0
Ball,0.9916201117318436,1.0,0.9957924263674615,710.0
accuracy,0.9980525803310614,0.9980525803310614,0.9980525803310614,0.9980525803310614
macro avg,0.9979050279329609,0.9978932584269663,0.9978902786652081,3081.0
weighted avg,0.9980688994902983,0.9980525803310614,0.9980525572170651,3081.0
