,precision,recall,f1-score,support
Normal,0.9564336372847011,1.0,0.9777317452097359,944.0
Inner Race,0.9135483870967742,1.0,0.9548213081591369,708.0
Outer Race,0.7510638297872341,0.9929676511954993,0.8552392489400363,711.0
Ball,1.0,0.5225352112676056,0.6864014801110083,710.0
accuracy,0.8880572730231044,0.8880572730231044,0.8880572730231044,0.8880572730231044
macro avg,0.9052614635421774,0.8788757156157763,0.8685484456049793,3073.0
weighted avg,0.909102503950536,0.8880572730231044,0.8768019559159914,3073.0
