,precision,recall,f1-score,support
Normal,0.9957939011566772,1.0,0.9978925184404637,947.0
Inner Race,0.9848714069591528,0.9143258426966292,0.9482884195193008,712.0
Outer Race,0.9970059880239521,0.9353932584269663,0.9652173913043478,712.0
Ball,0.8751560549313359,0.9873239436619718,0.927862342819325,710.0
accuracy,0.9623498864005193,0.9623498864005193,0.9623498864005193,0.9623498864005193
macro avg,0.9632068377677795,0.9592607611963919,0.9598151680208593,3081.0
weighted avg,0.9657495386642624,0.9623498864005193,0.9627402193025894,3081.0
