,precision,recall,f1-score,support
Normal,1.0,1.0,1.0,944.0
Inner Race,0.9943820224719101,1.0,0.9971830985915493,708.0
Outer Race,0.9971870604781997,0.9971870604781997,0.9971870604781997,711.0
Ball,1.0,0.9943661971830986,0.9971751412429378,710.0
accuracy,0.9980475105759844,0.9980475105759844,0.9980475105759844,0.9980475105759844
macro avg,0.9978922707375274,0.9978883144153246,0.9978863250781717,3073.0
weighted avg,0.9980548232704564,0.9980475105759844,0.9980475053971047,3073.0
